Date,Open,High,Low,Close*,Adj. close**,Volume
21-Aug-2019,138.55,139.49,138.00,138.79,138.32,"1,49,70,300"
20-Aug-2019,138.21,138.71,137.24,137.26,136.79,"2,11,70,800"
19-Aug-2019,137.85,138.55,136.89,138.41,137.94,"2,43,55,700"
16-Aug-2019,134.88,136.46,134.72,136.13,135.67,"2,44,49,100"
15-Aug-2019,134.39,134.58,132.25,133.68,133.23,"2,80,74,400"
14-Aug-2019,136.36,136.92,133.67,133.98,133.53,"3,25,27,300"
13-Aug-2019,0.46 Dividend,0.46 Dividend,0.46 Dividend,0.46 Dividend,0.46 Dividend,0.46 Dividend
13-Aug-2019,136.05,138.80,135.00,138.60,137.67,"2,51,54,600"
12-Aug-2019,137.07,137.86,135.24,135.79,134.88,"2,04,76,600"
09-Aug-2019,138.61,139.38,136.46,137.71,136.79,"2,34,66,700"
08-Aug-2019,136.60,138.99,135.93,138.89,137.96,"2,74,96,500"
07-Aug-2019,133.79,135.65,131.83,135.28,134.37,"3,34,14,500"
06-Aug-2019,133.80,135.68,133.21,134.69,133.79,"3,26,96,700"
05-Aug-2019,133.30,133.93,130.78,132.21,131.32,"4,27,49,600"
02-Aug-2019,138.09,138.32,135.26,136.90,135.98,"3,07,91,600"
01-Aug-2019,137.00,140.94,136.93,138.06,137.14,"4,05,57,500"
31-Jul-2019,140.33,140.49,135.08,136.27,135.36,"3,85,98,800"
30-Jul-2019,140.14,141.22,139.80,140.35,139.41,"1,68,46,500"
29-Jul-2019,141.50,141.51,139.37,141.03,140.09,"1,66,05,900"
26-Jul-2019,140.37,141.68,140.30,141.34,140.39,"1,90,37,600"
25-Jul-2019,140.43,140.61,139.32,140.19,139.25,"1,83,56,900"
24-Jul-2019,138.90,140.74,138.85,140.72,139.78,"2,07,38,300"
23-Jul-2019,139.76,139.99,138.03,139.29,138.36,"1,80,34,600"
22-Jul-2019,137.41,139.19,137.33,138.43,137.50,"2,50,74,900"
19-Jul-2019,140.22,140.67,136.45,136.62,135.70,"4,89,92,400"
18-Jul-2019,135.55,136.62,134.67,136.42,135.51,"3,08,08,700"
17-Jul-2019,137.70,137.93,136.22,136.27,135.36,"2,02,11,000"
16-Jul-2019,138.96,139.05,136.52,137.08,136.16,"2,27,26,100"
15-Jul-2019,139.44,139.54,138.46,138.90,137.97,"1,66,51,500"
12-Jul-2019,138.85,139.13,138.01,138.90,137.97,"1,89,36,800"
11-Jul-2019,138.20,139.22,137.87,138.40,137.47,"2,23,27,900"
10-Jul-2019,137.13,138.58,137.02,137.85,136.93,"2,42,04,400"
09-Jul-2019,136.00,136.97,135.80,136.46,135.55,"1,99,53,100"
08-Jul-2019,136.40,137.10,135.37,136.96,136.04,"1,67,79,700"
05-Jul-2019,135.94,137.33,135.72,137.06,136.14,"1,81,41,100"
03-Jul-2019,136.80,137.74,136.29,137.46,136.54,"1,36,29,300"
02-Jul-2019,136.12,136.59,135.34,136.58,135.67,"1,52,37,800"
01-Jul-2019,136.63,136.70,134.97,135.68,134.77,"2,26,54,200"
28-Jun-2019,134.57,134.60,133.16,133.96,133.06,"3,00,43,000"
27-Jun-2019,134.14,134.71,133.51,134.15,133.25,"1,65,57,500"
